,note,creation_date,reps
194,Машинное обучение\Python\Seaborn\Kdeplot.md,2024-12-12 20:54:38.013985,0
195,Машинное обучение\Python\Seaborn\Lmplot.md,2024-12-12 20:45:50.670431,0
196,Машинное обучение\Python\Seaborn\Violinplot.md,2024-12-12 21:30:05.011509,0
197,Машинное обучение\Python\Seaborn\Методы графиков.md,2024-12-12 20:50:08.405551,0
198,Машинное обучение\Python\sklearn\GridSearchCV.md,2024-12-06 17:46:35.589636,0
199,Машинное обучение\Python\sklearn\Sklearn compose.md,2024-11-20 18:42:08.691919,0
200,Машинное обучение\Python\sklearn\sklearn cross_val_score.md,2024-11-22 17:40:48.732810,0
201,Машинное обучение\Python\sklearn\Sklearn pipeline.md,2024-11-20 18:38:49.673724,0
202,Машинное обучение\Python\sklearn\Sklearn.md,2024-11-20 18:41:45.707638,0
203,Машинное обучение\Python\String\String in Python.md,2025-01-10 12:45:47.650119,0
204,Машинное обучение\Python\ООП\Наследование в Python.md,2025-01-03 18:26:08.649027,0
205,Машинное обучение\Python\ООП\ООП.md,2025-01-03 18:25:10.221184,0
206,Машинное обучение\Python\ООП\Принципы ООП в Python.md,2025-01-03 18:25:44.415148,0
207,Машинное обучение\Алгоритмы машинного обучения\KNNRegressor.md,2024-11-17 10:08:03.829272,0
208,Машинное обучение\Алгоритмы машинного обучения\Алгоритм градиентной оптимизации.md,2024-11-17 19:26:28.860662,0
209,Машинное обучение\Алгоритмы машинного обучения\Алгоритмы классификации.md,2024-11-19 16:01:21.916896,0
210,Машинное обучение\Алгоритмы машинного обучения\Алгоритмы регрессии.md,2024-11-19 16:00:13.093786,0
211,Машинное обучение\Алгоритмы машинного обучения\Линейная регрессия.md,2024-11-17 15:10:49.849021,0
212,Машинное обучение\Алгоритмы машинного обучения\Логистическая регрессия.md,2024-11-19 09:54:26.335448,0
213,Машинное обучение\Алгоритмы машинного обучения\Метод k-ближайших соседей.md,2024-11-17 08:40:30.224271,0
214,Машинное обучение\Алгоритмы машинного обучения\Решающее дерево.md,2024-11-20 13:03:00.623631,0
215,Машинное обучение\Алгоритмы машинного обучения\Случайный лес.md,2024-11-20 15:47:18.369026,0
216,Машинное обучение\ВАще негуглил\AdaBoost.md,2024-12-11 17:48:27.392439,0
217,Машинное обучение\ВАще негуглил\Cross-enthropy.md,2025-01-13 10:30:12.520386,0
218,Машинное обучение\ВАще негуглил\PermutationImportance.md,2024-12-11 16:45:47.390001,0
219,Машинное обучение\ВАще негуглил\Pseudolabelling.md,2024-12-15 13:12:09.819766,0
220,Машинное обучение\ВАще негуглил\Random search.md,2024-12-06 16:33:18.018126,0
